#>T ip_distribution_0723
#>-ip_code-----ip_name-----ip_type-----protein_count_in_human-all_protein_in_pdb-uniq_pdb_codes_with_lig-uniq_protein_with_lig_in_pdb-uniq_lig_count-median_ligand_desolvation-Median_Potency_nM-num_of_protein_with_affinity_data
   IPR000276   "G protein-coupled receptor, rhodopsin-like" Family      710.        21.         77.         18.         44.         96.4587     0.32        9          
   IPR000719   "Protein kinase domain" Domain      482.        267.        1153.       120.        986.        88.4307     8.45        82         
   IPR001680   "WD40 repeat" Repeat      266.        71.         21.         3.          19.         88.4241     226.3       2          
   IPR001611   "Leucine-rich repeat" Repeat      261.        39.         6.          1.          6.          66.8582     55000.      1          
   IPR002048   "EF-hand domain" Domain      228.        71.         4.          3.          4.          67.1337     10000.      3          
   IPR000210   "BTB/POZ domain" Domain      178.        30.         5.          2.          5.          68.1275     3.          1          
   IPR001478   "PDZ domain" Domain      152.        60.         1.          1.          1.          66.5625     10700.      1          
   IPR001806   "Small GTPase" Family      137.        73.         21.         2.          19.         96.7099     340000.     1          
   IPR001245   "Serine-threonine/tyrosine-protein kinase, catalytic domain" Domain      131.        87.         638.        60.         510.        91.0143     4.          53         
   IPR001254   "Serine proteases, trypsin domain" Domain      121.        53.         221.        14.         208.        84.523      6.15        12         
   IPR002126   Cadherin-like Domain      115.        0.          1.          1.          1.          55.3986     "no data" 0          
   IPR000980   "SH2 domain" Domain      109.        46.         6.          1.          3.          90.8585     73.         1          
   IPR001650   "Helicase, C-terminal" Domain      108.        35.         1.          1.          1.          63.2281     5300.       1          
   IPR001304   "C-type lectin-like" Domain      86.         38.         3.          2.          2.          48.3901     "no data" 0          
   IPR002035   "von Willebrand factor, type A" Domain      76.         16.         2.          2.          2.          79.392      2400.       1          
   IPR001394   "Peptidase C19, ubiquitin carboxyl-terminal hydrolase" Domain      74.         20.         7.          1.          7.          90.0142     430.        1          
   IPR013151   Immunoglobulin Domain      72.         31.         1.          1.          1.          68.701      "no data" 0          
   IPR011545   "DEAD/DEAH box helicase domain" Domain      67.         36.         1.          1.          1.          90.1084     5300.       1          
   IPR001791   "Laminin G domain" Domain      61.         7.          7.          1.          4.          100.        0.182       1          
   IPR006652   "Kelch repeat type 1" Repeat      61.         9.          9.          1.          8.          79.8373     670.        1          
   IPR001128   "Cytochrome P450" Family      60.         24.         54.         15.         38.         98.521      "no data" 0          
   IPR002347   "Short-chain dehydrogenase/reductase SDR" Family      55.         22.         6.          1.          6.          99.4291     "no data" 0          
   IPR001214   "SET domain" Domain      51.         30.         16.         5.          13.         87.3919     3.3         3          
   IPR003439   "ABC transporter-like" Domain      49.         16.         5.          1.          1.          81.0174     "no data" 0          
   IPR000536   "Nuclear hormone receptor, ligand-binding domain" Domain      48.         36.         246.        17.         135.        99.7805     1.85        14         
   IPR001752   "Kinesin motor domain" Domain      45.         17.         21.         1.          20.         90.4782     1.6         1          
   IPR000225   Armadillo   Repeat      42.         16.         3.          1.          3.          66.1106     900000.     1          
   IPR001487   Bromodomain Domain      41.         33.         255.        22.         211.        75.5324     57.         15         
   IPR001590   "Peptidase M12B, ADAM/reprolysin" Domain      40.         8.          5.          2.          5.          87.4246     49.         2          
   IPR000608   "Ubiquitin-conjugating enzyme E2" Domain      40.         31.         1.          1.          1.          77.2184     1720.       1          
   IPR001609   "Myosin head, motor domain" Domain      39.         6.          2.          1.          1.          88.7353     290.        1          
   IPR000242   "PTP type protein phosphatase" Domain      38.         30.         33.         5.          21.         89.2366     300.        3          
   IPR023796   "Serpin domain" Domain      38.         21.         3.          2.          2.          91.9382     290.        1          
   IPR001828   "Receptor, ligand binding region" Domain      36.         15.         6.          4.          5.          97.3632     80.65       2          
   IPR005828   "Major facilitator,  sugar transporter-like" Family      36.         2.          1.          1.          1.          81.3095     "no data" 0          
   IPR000566   "Lipocalin/cytosolic fatty-acid binding domain" Domain      34.         23.         21.         6.          17.         93.3552     96.5        4          
   IPR000863   "Sulfotransferase domain" Domain      33.         15.         4.          3.          3.          95.1737     83200.      1          
   IPR002181   "Fibrinogen, alpha/beta/gamma chain, C-terminal globular domain" Domain      32.         13.         2.          2.          2.          51.3275     "no data" 0          
   IPR004000   "Actin family" Family      32.         7.          29.         1.          2.          88.2228     "no data" 0          
   IPR003347   "JmjC domain" Domain      32.         24.         47.         8.          36.         94.8907     45.         5          
   IPR001627   "Sema domain" Domain      31.         6.          1.          1.          1.          34.7493     "no data" 0          
   IPR000873   "AMP-dependent synthetase/ligase" Domain      30.         1.          1.          1.          1.          88.8107     "no data" 0          
   IPR017892   "Protein kinase, C-terminal" Domain      30.         11.         1.          1.          1.          71.6359     "no data" 0          
   IPR001895   "Ras guanine-nucleotide exchange factors catalytic domain" Domain      30.         9.          13.         1.          13.         95.7843     279000.     1          
   IPR000772   "Ricin B, lectin domain" Domain      29.         14.         2.          2.          2.          82.9692     "no data" 0          
   IPR003594   "Histidine kinase/HSP90-like ATPase" Domain      28.         9.          165.        6.          145.        85.2517     242.5       6          
   IPR000073   "Alpha/beta hydrolase fold-1" Domain      28.         6.          40.         1.          39.         97.4848     0.66        1          
   IPR004045   "Glutathione S-transferase, N-terminal" Domain      27.         20.         25.         7.          19.         84.9553     300.        5          
   IPR000086   "NUDIX hydrolase domain" Domain      27.         20.         10.         1.          10.         97.1138     0.4         1          
   IPR005135   Endonuclease/exonuclease/phosphatase Domain      25.         13.         1.          1.          1.          81.0977     17.5        1          
   IPR004046   "Glutathione S-transferase, C-terminal" Domain      24.         20.         23.         6.          18.         88.9708     165.5       4          
   IPR003008   "Tubulin/FtsZ, GTPase domain" Domain      24.         7.          3.          2.          3.          97.525      "no data" 0          
   IPR002130   "Cyclophilin-type peptidyl-prolyl cis-trans isomerase domain" Domain      24.         19.         10.         1.          10.         83.3563     600.        1          
   IPR001818   "Peptidase M10, metallopeptidase" Domain      23.         12.         65.         9.          51.         88.297      7.4         7          
   IPR000421   "Coagulation factor 5/8 C-terminal domain" Domain      23.         9.          1.          1.          1.          38.1242     7800.       1          
   IPR000834   "Peptidase M14, carboxypeptidase A" Domain      23.         8.          1.          1.          1.          97.6097     8.          1          
   IPR017978   "GPCR family 3, C-terminal" Domain      22.         1.          1.          1.          1.          96.7832     "no data" 0          
   IPR002073   "3'5'-cyclic nucleotide phosphodiesterase, catalytic domain" Domain      21.         12.         162.        11.         134.        88.8945     0.5         11         
   IPR005123   "Oxoglutarate/iron-dependent dioxygenase" Domain      21.         7.          21.         1.          8.          90.3545     15.8        1          
   IPR002893   "Zinc finger, MYND-type" Domain      21.         6.          1.          1.          1.          84.1739     "no data" 0          
   IPR015590   "Aldehyde dehydrogenase domain" Domain      19.         11.         12.         4.          11.         97.2366     105.        2          
   IPR000175   "Sodium:neurotransmitter symporter" Family      19.         1.          7.          1.          4.          95.2525     "no data" 0          
   IPR001054   "Adenylyl cyclase class-3/4/guanylyl cyclase" Domain      19.         3.          3.          1.          2.          100.        360.        1          
   IPR000403   "Phosphatidylinositol 3-/4-kinase, catalytic domain" Domain      19.         10.         1.          1.          1.          79.5434     "no data" 0          
   IPR001148   "Alpha carbonic anhydrase domain" Domain      18.         13.         149.        8.          107.        87.5535     10.85       6          
   IPR023210   "NADP-dependent oxidoreductase domain" Domain      18.         11.         152.        7.          77.         98.635      "no data" 0          
   IPR019594   "Ionotropic glutamate receptor, L-glutamate and glycine-binding domain" Domain      18.         5.          9.          4.          8.          94.1435     620.        3          
   IPR000001   Kringle     Domain      18.         8.          4.          2.          4.          63.6143     370.        1          
   IPR001320   "Ionotropic glutamate receptor" Domain      18.         5.          1.          1.          1.          54.2341     "no data" 0          
   IPR001179   "FKBP-type peptidyl-prolyl cis-trans isomerase domain" Domain      17.         11.         3.          2.          3.          68.5857     1000.       1          
   IPR012317   "Poly(ADP-ribose) polymerase, catalytic domain" Domain      17.         11.         109.        7.          103.        88.5933     35.55       6          
   IPR000917   "Sulfatase, N-terminal" Domain      17.         6.          1.          1.          1.          79.6553     "no data" 0          
   IPR001079   "Galectin, carbohydrate recognition domain" Domain      16.         10.         2.          2.          2.          62.9788     910000.     1          
   IPR002018   "Carboxylesterase, type B" Domain      15.         7.          10.         3.          9.          94.0037     3306.       1          
   IPR013149   "Alcohol dehydrogenase, C-terminal" Domain      15.         14.         8.          4.          8.          90.8961     "no data" 0          
   IPR013126   "Heat shock protein 70 family" Family      15.         8.          11.         2.          7.          90.7453     24000.      2          
   IPR018502   "Annexin repeat" Repeat      14.         8.          1.          1.          1.          71.3185     "no data" 0          
   IPR001607   "Zinc finger, UBP-type" Domain      14.         9.          4.          1.          4.          79.3476     "no data" 0          
   IPR000668   "Peptidase C1A, papain C-terminal" Domain      13.         9.          35.         4.          35.         85.0635     1.5         3          
   IPR001759   Pentraxin-related Family      13.         2.          1.          1.          1.          49.2903     "no data" 0          
   IPR000562   "Fibronectin type II domain" Domain      13.         6.          1.          1.          1.          92.0078     "no data" 0          
   IPR023753   "FAD/NAD(P)-binding domain" Domain      12.         0.          1.          1.          1.          51.2824     "no data" 0          
   IPR013078   "Histidine phosphatase superfamily, clade-1" Family      12.         8.          5.          1.          5.          95.5595     21.         1          
   IPR011626   "Alpha-macroglobulin, TED domain" Domain      12.         0.          1.          1.          1.          56.5741     "no data" 0          
   IPR007484   "Peptidase M28" Domain      12.         6.          2.          1.          2.          88.462      44.         1          
   IPR000555   "JAB1/MPN/MOV34 metalloenzyme domain" Domain      12.         15.         1.          1.          1.          62.6637     1100.       1          
   IPR024810   "Mab-21 domain" Domain      12.         5.          3.          1.          3.          73.1601     200.        1          
   IPR016090   "Phospholipase A2 domain" Domain      11.         4.          9.          3.          8.          87.4125     12.         1          
   IPR023801   "Histone deacetylase domain" Domain      11.         6.          18.         3.          15.         93.4016     90.         3          
   IPR006680   Amidohydrolase-related Domain      11.         9.          1.          1.          1.          90.1738     "no data" 0          
   IPR000539   "Frizzled/Smoothened, transmembrane domain" Domain      11.         0.          2.          1.          2.          98.0002     "no data" 0          
   IPR019791   "Haem peroxidase, animal type" Family      10.         2.          18.         2.          13.         99.252      "no data" 0          
   IPR002937   "Amine oxidase" Domain      10.         6.          11.         3.          11.         97.6088     22.         1          
   IPR033121   "Peptidase family A1 domain" Domain      10.         7.          191.        3.          185.        92.4031     0.6         3          
   IPR004092   "Mbt repeat" Repeat      10.         8.          3.          2.          3.          68.3765     5000.       1          
   IPR002591   "Type I phosphodiesterase/nucleotide pyrophosphatase/phosphate transferase" Family      10.         5.          11.         1.          10.         93.3325     13.         1          
   IPR026298   "Blc2 family" Family      10.         9.          2.          1.          2.          89.9467     3300.       1          
   IPR003349   "JmjN domain" Domain      10.         8.          1.          1.          1.          44.2546     "no data" 0          
   IPR000472   "Activin types I and II receptor domain" Domain      9.          5.          1.          1.          1.          19.1198     "no data" 0          
   IPR000994   "Peptidase M24" Domain      9.          7.          21.         2.          21.         90.547      296.        2          
   IPR001375   "Peptidase S9, prolyl oligopeptidase, catalytic domain" Domain      9.          7.          2.          1.          2.          68.5206     1.          1          
   IPR006076   "FAD dependent oxidoreductase" Domain      9.          2.          3.          1.          3.          99.4913     "no data" 0          
   IPR001370   "BIR repeat" Repeat      8.          6.          16.         2.          15.         89.3516     29.         2          
   IPR008753   "Peptidase M13, N-terminal domain" Domain      8.          2.          3.          1.          3.          90.998      0.6         1          
   IPR022742   "Serine aminopeptidase, S33" Domain      8.          1.          3.          1.          3.          95.4323     29.         1          
   IPR004274   "FCP1 homology domain" Domain      8.          3.          1.          1.          1.          59.6008     5000.       1          
   IPR001236   "Lactate/malate dehydrogenase, N-terminal" Domain      8.          4.          3.          1.          3.          73.536      510.        1          
   IPR002314   "Aminoacyl-tRNA synthetase, class II (G/ P/ S/T)" Domain      8.          4.          4.          1.          3.          98.371      0.76        1          
   IPR004910   Yippee/Mis18/Cereblon Domain      8.          1.          1.          1.          1.          79.4898     "no data" 0          
   IPR001223   "Glycoside hydrolase family 18, catalytic domain" Domain      7.          5.          7.          2.          7.          96.8953     420.        1          
   IPR023410   "14-3-3 domain" Domain      7.          7.          2.          1.          2.          67.1068     "no data" 0          
   IPR003000   "Sirtuin family" Family      7.          5.          14.         4.          9.          99.2496     1740.       3          
   IPR007863   "Peptidase M16, C-terminal" Domain      7.          4.          5.          1.          5.          78.8178     60.         1          
